time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain
2003-11-14 19:00:00,302.9960022,224.3300018,-3.810003662,54.39456387,13.12136074,0
2003-11-14 20:00:00,190.9219971,224.3300018,-3.579992676,54.94728113,12.51161441,0
2003-11-14 21:00:00,24.62400055,218.8200073,-3.350012207,55.47127032,11.90600233,0
2003-11-14 22:00:00,0,218.8200073,-3.540014648,57.07415754,11.90550261,0
2003-11-14 23:00:00,0,218.8099976,-3.729956055,58.7106959,11.92102305,0
2003-11-15 00:00:00,0,255.8600006,-3.919989014,60.38223423,11.95723164,0
2003-11-15 01:00:00,0,255.8600006,-3.979986572,60.47722706,11.86020633,0
2003-11-15 02:00:00,0,255.8600006,-4.040014648,60.56518047,11.77290517,0
2003-11-15 03:00:00,0,243.9600067,-4.100012207,60.64910744,11.68336431,0
2003-11-15 04:00:00,0,243.9600067,-4.459967041,61.13622923,11.3887007,0
2003-11-15 05:00:00,0,243.9600067,-4.820013428,61.59125183,11.08698765,0
2003-11-15 06:00:00,0,203.6499939,-5.190008545,62.08071843,10.79408158,0
2003-11-15 07:00:00,0,203.6499939,-5.269995117,62.50209493,10.45429088,0
2003-11-15 08:00:00,0,203.6499939,-5.359991455,62.97076073,10.12405564,0
2003-11-15 09:00:00,0,194.9700012,-5.440008545,63.39502135,9.795560076,0
2003-11-15 10:00:00,0,194.9700012,-5.739996338,64.21854972,9.903358353,0
2003-11-15 11:00:00,0,194.9700012,-6.029974365,64.99918652,10.00800198,0
2003-11-15 12:00:00,39.88399887,183.1699982,-6.329992676,65.83932934,10.12305312,0
2003-11-15 13:00:00,199.4320068,183.1799927,-5.339971924,61.79584135,10.46084613,0
2003-11-15 14:00:00,330.447998,183.1900024,-4.359991455,58.07608806,10.80567019,0
2003-11-15 15:00:00,442.6080017,191.8699951,-3.370001221,54.55241434,11.14500809,0
2003-11-15 16:00:00,487.3580017,191.8699951,-2.820013428,53.81668843,11.01356004,0
2003-11-15 17:00:00,488.6759949,191.8800049,-2.269995117,53.0741273,10.89628354,0
2003-11-15 18:00:00,424.822998,199.2599945,-1.719946289,52.30339072,10.77911414,0
2003-11-15 19:00:00,328.4330139,199.2599945,-1.829992676,53.66074199,9.909359257,0
2003-11-15 20:00:00,205.9629974,199.2599945,-1.940008545,55.03566643,9.0539108,0
2003-11-15 21:00:00,22.87999916,193.75,-2.049993896,56.42763067,8.198792553,0
2003-11-15 22:00:00,0,193.7400055,-2.729986572,59.91511224,7.769948743,0
2003-11-15 23:00:00,0,193.7400055,-3.410009766,63.61197839,7.347986074,0
2003-11-16 00:00:00,0,185.4700012,-4.079992676,67.50732293,6.926940148,0
2003-11-16 01:00:00,0,185.4700012,-4.310003662,67.24941721,6.732495996,0
2003-11-16 02:00:00,0,185.4700012,-4.540014648,66.96749694,6.532411685,0
2003-11-16 03:00:00,0,189.0200043,-4.769995117,66.66103752,6.341987085,0
2003-11-16 04:00:00,0,189.0200043,-4.840002441,68.30153932,5.923656219,0
2003-11-16 05:00:00,0,189.0200043,-4.910009766,69.94575631,5.504852559,0
2003-11-16 06:00:00,0,193.1100006,-4.979986572,71.62236664,5.086698381,0
2003-11-16 07:00:00,0,193.1100006,-5.049993896,72.68093236,5.07993099,0
2003-11-16 08:00:00,0,193.1100006,-5.109991455,73.68157811,5.077962262,0
2003-11-16 09:00:00,0,201.0200043,-5.179998779,74.75776305,5.074662667,0
2003-11-16 10:00:00,0,201.0200043,-5.249975586,75.69848889,4.752136408,0
2003-11-16 11:00:00,0,201.0200043,-5.329992676,76.71840046,4.430011306,0
2003-11-16 12:00:00,33.97600174,206.6699982,-5.410009766,77.73801597,4.108381668,0
2003-11-16 13:00:00,184.4400024,206.6799927,-3.810003662,70.96460982,4.279076983,0
2003-11-16 14:00:00,308.0320129,206.6900024,-2.209997559,64.81627174,4.462790568,0
2003-11-16 15:00:00,341.29599,242.0200043,-0.600012207,59.21571191,4.656393568,0
2003-11-16 16:00:00,376.2399902,242.0200043,-0.040014648,57.19865356,4.186669373,0
2003-11-16 17:00:00,377.3850098,242.0299988,0.520013428,55.26848734,3.733577354,0
2003-11-16 18:00:00,293.5039978,261.3999939,1.089990234,53.36413799,3.303967335,0
2003-11-16 19:00:00,226.576004,261.3999939,0.809991455,56.29602961,2.970016721,0
2003-11-16 20:00:00,141.427002,261.3900146,0.540002441,59.27081759,2.641401158,0
2003-11-16 21:00:00,14.65600014,271.1400146,0.26003418,62.39114643,2.319999978,0
2003-11-16 22:00:00,0,271.1400146,-0.120001221,64.67715352,2.296301382,0
2003-11-16 23:00:00,0,271.1300049,-0.48996582,67.01258469,2.269206868,0
2003-11-17 00:00:00,0,230.9900055,-0.870001221,69.47102699,2.254173974,0
2003-11-17 01:00:00,0,230.9799957,-1.299963379,70.26797978,2.430226299,0
2003-11-17 02:00:00,0,230.9799957,-1.720007324,71.00990791,2.605993142,0
2003-11-17 03:00:00,0,218.0599976,-2.15,71.78139284,2.793295744,0
2003-11-17 04:00:00,0,218.0599976,-2.310003662,72.42213377,2.434460882,0
2003-11-17 05:00:00,0,218.0500031,-2.470007324,73.08430449,2.079350907,0
2003-11-17 06:00:00,0,222.5700073,-2.630010986,73.73716847,1.728004603,0
2003-11-17 07:00:00,0,222.5700073,-2.340002441,71.89257379,1.414390286,0
2003-11-17 08:00:00,0,222.5700073,-2.049993896,70.09936095,1.205985122,0
2003-11-17 09:00:00,0,226.6199951,-1.759985352,68.34197586,1.160904834,0
2003-11-17 10:00:00,0,226.6199951,-1.660009766,68.17263873,1.122942553,0
2003-11-17 11:00:00,0,226.6199951,-1.549993896,67.95562638,1.250319994,0
2003-11-17 12:00:00,27.12000084,245.5700073,-1.440008545,67.72710626,1.501532593,0
2003-11-17 13:00:00,161.4880066,245.5899963,-0.290014648,68.36336609,1.054751108,0
